"Field"	"Type"	"Null"	"Key"	"Default"	"Extra"
"name"	"bigint(20)"	"NO"	"PRI"		""
"creation"	"datetime(6)"	"YES"	""		""
"modified"	"datetime(6)"	"YES"	"MUL"		""
"modified_by"	"varchar(140)"	"YES"	""		""
"owner"	"varchar(140)"	"YES"	""		""
"docstatus"	"int(1)"	"NO"	""	"0"	""
"idx"	"int(8)"	"NO"	""	"0"	""
"sales_person"	"varchar(140)"	"YES"	""		""
"customer"	"varchar(140)"	"YES"	""		""
"planned_visit_date"	"date"	"YES"	""		""
"planned_visit_time"	"time(6)"	"YES"	""		""
"planned_location_address"	"text"	"YES"	""		""
"planned_location_latitude"	"varchar(140)"	"YES"	""		""
"planned_location_longitude"	"varchar(140)"	"YES"	""		""
"notes"	"text"	"YES"	""		""
"status"	"varchar(140)"	"YES"	""		""
"sales_activity_log"	"varchar(140)"	"YES"	""		""
"_user_tags"	"text"	"YES"	""		""
"_comments"	"text"	"YES"	""		""
"_assign"	"text"	"YES"	""		""
"_liked_by"	"text"	"YES"	""		""
"sales_name"	"varchar(140)"	"YES"	""		""
"customer_name"	"varchar(140)"	"YES"	""		""
